name,fips
"Hamilton County, Florida, United States",12047
"Hardee County, Florida, United States",12049
"Hendry County, Florida, United States",12051
"Hernando County, Florida, United States",12053
"Highlands County, Florida, United States",12055
"Hillsborough County, Florida, United States",12057
"Holmes County, Florida, United States",12059
"Indian River County, Florida, United States",12061
"Jackson County, Florida, United States",12063
"Jefferson County, Florida, United States",12065
"Lafayette County, Florida, United States",12067
"Lake County, Florida, United States",12069
"Lee County, Florida, United States",12071
"Leon County, Florida, United States",12073
"Levy County, Florida, United States",12075
"Liberty County, Florida, United States",12077
"Madison County, Florida, United States",12079
"Manatee County, Florida, United States",12081
"Marion County, Florida, United States",12083
"Martin County, Florida, United States",12085
"Miami-Dade County, Florida, United States",12086
"Monroe County, Florida, United States",12087
"Nassau County, Florida, United States",12089
"Okaloosa County, Florida, United States",12091
"Okeechobee County, Florida, United States",12093
"Orange County, Florida, United States",12095
"Osceola County, Florida, United States",12097
"Palm Beach County, Florida, United States",12099
"Pasco County, Florida, United States",12101
"Pinellas County, Florida, United States",12103
"Polk County, Florida, United States",12105
"Putnam County, Florida, United States",12107
"St. Johns County, Florida, United States",12109
"St. Lucie County, Florida, United States",12111
"Santa Rosa County, Florida, United States",12113
"Sarasota County, Florida, United States",12115
"Seminole County, Florida, United States",12117
"Sumter County, Florida, United States",12119
"Suwannee County, Florida, United States",12121
"Taylor County, Florida, United States",12123
"Union County, Florida, United States",12125
"Volusia County, Florida, United States",12127
"Wakulla County, Florida, United States",12129
"Walton County, Florida, United States",12131
"Washington County, Florida, United States",12133
"Appling County, Georgia, United States",13001
"Atkinson County, Georgia, United States",13003
"Bacon County, Georgia, United States",13005
"Baker County, Georgia, United States",13007
"Baldwin County, Georgia, United States",13009
"Banks County, Georgia, United States",13011
"Barrow County, Georgia, United States",13013
"Bartow County, Georgia, United States",13015
"Ben Hill County, Georgia, United States",13017
"Berrien County, Georgia, United States",13019
"Bibb County, Georgia, United States",13021
"Bleckley County, Georgia, United States",13023
"Brantley County, Georgia, United States",13025
"Brooks County, Georgia, United States",13027
"Bryan County, Georgia, United States",13029
"Bulloch County, Georgia, United States",13031
"Burke County, Georgia, United States",13033
"Butts County, Georgia, United States",13035
"Calhoun County, Georgia, United States",13037
"Camden County, Georgia, United States",13039
"Candler County, Georgia, United States",13043
"Carroll County, Georgia, United States",13045
"Catoosa County, Georgia, United States",13047
"Charlton County, Georgia, United States",13049
"Chatham County, Georgia, United States",13051
"Chattahoochee County, Georgia, United States",13053
"Chattooga County, Georgia, United States",13055
"Cherokee County, Georgia, United States",13057
"Clarke County, Georgia, United States",13059
"Clay County, Georgia, United States",13061
"Clayton County, Georgia, United States",13063
"Clinch County, Georgia, United States",13065
"Cobb County, Georgia, United States",13067
"Coffee County, Georgia, United States",13069
"Colquitt County, Georgia, United States",13071
"Columbia County, Georgia, United States",13073
"Cook County, Georgia, United States",13075
"Coweta County, Georgia, United States",13077
"Crawford County, Georgia, United States",13079
"Crisp County, Georgia, United States",13081
"Dade County, Georgia, United States",13083
"Dawson County, Georgia, United States",13085
"Decatur County, Georgia, United States",13087
"DeKalb County, Georgia, United States",13089
"Dodge County, Georgia, United States",13091
"Dooly County, Georgia, United States",13093
"Dougherty County, Georgia, United States",13095
"Douglas County, Georgia, United States",13097
"Early County, Georgia, United States",13099
"Echols County, Georgia, United States",13101
"Effingham County, Georgia, United States",13103
"Elbert County, Georgia, United States",13105
"Emanuel County, Georgia, United States",13107
"Evans County, Georgia, United States",13109
"Fannin County, Georgia, United States",13111
"Fayette County, Georgia, United States",13113
"Floyd County, Georgia, United States",13115
"Forsyth County, Georgia, United States",13117
"Franklin County, Georgia, United States",13119
"Fulton County, Georgia, United States",13121
"Gilmer County, Georgia, United States",13123
"Glascock County, Georgia, United States",13125
"Glynn County, Georgia, United States",13127
"Gordon County, Georgia, United States",13129
"Grady County, Georgia, United States",13131
"Greene County, Georgia, United States",13133
"Gwinnett County, Georgia, United States",13135
"Habersham County, Georgia, United States",13137
"Hall County, Georgia, United States",13139
"Hancock County, Georgia, United States",13141
"Haralson County, Georgia, United States",13143
"Harris County, Georgia, United States",13145
"Hart County, Georgia, United States",13147
"Heard County, Georgia, United States",13149
"Henry County, Georgia, United States",13151
"Houston County, Georgia, United States",13153
"Irwin County, Georgia, United States",13155
"Jackson County, Georgia, United States",13157
"Jasper County, Georgia, United States",13159
"Jeff Davis County, Georgia, United States",13161
"Jefferson County, Georgia, United States",13163
"Jenkins County, Georgia, United States",13165
"Johnson County, Georgia, United States",13167
"Jones County, Georgia, United States",13169
"Lamar County, Georgia, United States",13171
"Lanier County, Georgia, United States",13173
"Laurens County, Georgia, United States",13175
"Lee County, Georgia, United States",13177
"Liberty County, Georgia, United States",13179
"Lincoln County, Georgia, United States",13181
"Long County, Georgia, United States",13183
"Lowndes County, Georgia, United States",13185
"Lumpkin County, Georgia, United States",13187
"McDuffie County, Georgia, United States",13189
"McIntosh County, Georgia, United States",13191
"Macon County, Georgia, United States",13193
"Madison County, Georgia, United States",13195
"Marion County, Georgia, United States",13197
"Meriwether County, Georgia, United States",13199
"Miller County, Georgia, United States",13201
"Mitchell County, Georgia, United States",13205
"Monroe County, Georgia, United States",13207
"Montgomery County, Georgia, United States",13209
"Morgan County, Georgia, United States",13211
"Murray County, Georgia, United States",13213
"Muscogee County, Georgia, United States",13215
"Newton County, Georgia, United States",13217
"Oconee County, Georgia, United States",13219
"Oglethorpe County, Georgia, United States",13221
"Paulding County, Georgia, United States",13223
"Peach County, Georgia, United States",13225
"Pickens County, Georgia, United States",13227
"Pierce County, Georgia, United States",13229
"Pike County, Georgia, United States",13231
"Polk County, Georgia, United States",13233
"Pulaski County, Georgia, United States",13235
"Putnam County, Georgia, United States",13237
"Quitman County, Georgia, United States",13239
"Rabun County, Georgia, United States",13241
"Randolph County, Georgia, United States",13243
"Richmond County, Georgia, United States",13245
"Rockdale County, Georgia, United States",13247
"Schley County, Georgia, United States",13249
"Screven County, Georgia, United States",13251
"Seminole County, Georgia, United States",13253
"Spalding County, Georgia, United States",13255
"Stephens County, Georgia, United States",13257
"Stewart County, Georgia, United States",13259
"Sumter County, Georgia, United States",13261
"Talbot County, Georgia, United States",13263
"Taliaferro County, Georgia, United States",13265
"Tattnall County, Georgia, United States",13267
"Taylor County, Georgia, United States",13269
"Telfair County, Georgia, United States",13271
"Terrell County, Georgia, United States",13273
"Thomas County, Georgia, United States",13275
"Tift County, Georgia, United States",13277
"Toombs County, Georgia, United States",13279
"Towns County, Georgia, United States",13281
"Treutlen County, Georgia, United States",13283
"Troup County, Georgia, United States",13285
"Turner County, Georgia, United States",13287
"Twiggs County, Georgia, United States",13289
"Union County, Georgia, United States",13291
"Upson County, Georgia, United States",13293
"Walker County, Georgia, United States",13295
"Walton County, Georgia, United States",13297
"Ware County, Georgia, United States",13299
"Warren County, Georgia, United States",13301
"Washington County, Georgia, United States",13303
"Wayne County, Georgia, United States",13305
"Webster County, Georgia, United States",13307
"Wheeler County, Georgia, United States",13309
"White County, Georgia, United States",13311
"Whitfield County, Georgia, United States",13313
"Wilcox County, Georgia, United States",13315
"Wilkes County, Georgia, United States",13317
"Wilkinson County, Georgia, United States",13319
"Worth County, Georgia, United States",13321
"Hawaii County, Hawaii, United States",15001
"Honolulu County, Hawaii, United States",15003
"Kalawao County, Hawaii, United States",15005
"Kauai County, Hawaii, United States",15007
"Maui County, Hawaii, United States",15009
"Adair County, Iowa, United States",19001
"Adams County, Iowa, United States",19003
"Allamakee County, Iowa, United States",19005
"Appanoose County, Iowa, United States",19007
"Audubon County, Iowa, United States",19009
"Benton County, Iowa, United States",19011
"Black Hawk County, Iowa, United States",19013
"Boone County, Iowa, United States",19015
"Bremer County, Iowa, United States",19017
"Buchanan County, Iowa, United States",19019
"Buena Vista County, Iowa, United States",19021
"Butler County, Iowa, United States",19023
"Calhoun County, Iowa, United States",19025
"Carroll County, Iowa, United States",19027
"Cass County, Iowa, United States",19029
"Cedar County, Iowa, United States",19031
"Cerro Gordo County, Iowa, United States",19033
"Cherokee County, Iowa, United States",19035
"Chickasaw County, Iowa, United States",19037
"Clarke County, Iowa, United States",19039
"Clay County, Iowa, United States",19041
"Clayton County, Iowa, United States",19043
"Clinton County, Iowa, United States",19045
"Crawford County, Iowa, United States",19047
"Dallas County, Iowa, United States",19049
"Davis County, Iowa, United States",19051
"Decatur County, Iowa, United States",19053
"Delaware County, Iowa, United States",19055
"Des Moines County, Iowa, United States",19057
"Dickinson County, Iowa, United States",19059
"Dubuque County, Iowa, United States",19061
"Emmet County, Iowa, United States",19063
"Fayette County, Iowa, United States",19065
"Floyd County, Iowa, United States",19067
"Franklin County, Iowa, United States",19069
"Fremont County, Iowa, United States",19071
"Greene County, Iowa, United States",19073
"Grundy County, Iowa, United States",19075
"Guthrie County, Iowa, United States",19077
"Hamilton County, Iowa, United States",19079
"Hancock County, Iowa, United States",19081
"Hardin County, Iowa, United States",19083
"Harrison County, Iowa, United States",19085
"Henry County, Iowa, United States",19087
"Howard County, Iowa, United States",19089
"Humboldt County, Iowa, United States",19091
"Ida County, Iowa, United States",19093
"Iowa County, Iowa, United States",19095
"Jackson County, Iowa, United States",19097
"Jasper County, Iowa, United States",19099
"Jefferson County, Iowa, United States",19101
"Johnson County, Iowa, United States",19103
"Jones County, Iowa, United States",19105
"Keokuk County, Iowa, United States",19107
"Kossuth County, Iowa, United States",19109
"Lee County, Iowa, United States",19111
"Linn County, Iowa, United States",19113
"Louisa County, Iowa, United States",19115
"Lucas County, Iowa, United States",19117
"Lyon County, Iowa, United States",19119
"Madison County, Iowa, United States",19121
"Mahaska County, Iowa, United States",19123
"Marion County, Iowa, United States",19125
"Marshall County, Iowa, United States",19127
"Mills County, Iowa, United States",19129
"Mitchell County, Iowa, United States",19131
"Monona County, Iowa, United States",19133
"Monroe County, Iowa, United States",19135
"Montgomery County, Iowa, United States",19137
"Muscatine County, Iowa, United States",19139
"O'Brien County, Iowa, United States",19141
"Osceola County, Iowa, United States",19143
"Page County, Iowa, United States",19145
"Palo Alto County, Iowa, United States",19147
"Plymouth County, Iowa, United States",19149
"Pocahontas County, Iowa, United States",19151
"Polk County, Iowa, United States",19153
"Pottawattamie County, Iowa, United States",19155
"Poweshiek County, Iowa, United States",19157
"Ringgold County, Iowa, United States",19159
"Sac County, Iowa, United States",19161
"Scott County, Iowa, United States",19163
"Shelby County, Iowa, United States",19165
"Sioux County, Iowa, United States",19167
"Story County, Iowa, United States",19169
"Tama County, Iowa, United States",19171
"Taylor County, Iowa, United States",19173
"Union County, Iowa, United States",19175
"Van Buren County, Iowa, United States",19177
"Wapello County, Iowa, United States",19179
"Warren County, Iowa, United States",19181
"Washington County, Iowa, United States",19183
"Wayne County, Iowa, United States",19185
"Webster County, Iowa, United States",19187
"Winnebago County, Iowa, United States",19189
"Winneshiek County, Iowa, United States",19191
"Woodbury County, Iowa, United States",19193
"Worth County, Iowa, United States",19195
"Wright County, Iowa, United States",19197
"Ada County, Idaho, United States",16001
"Adams County, Idaho, United States",16003
"Bannock County, Idaho, United States",16005
"Bear Lake County, Idaho, United States",16007
"Benewah County, Idaho, United States",16009
"Bingham County, Idaho, United States",16011
"Blaine County, Idaho, United States",16013
"Boise County, Idaho, United States",16015
"Bonner County, Idaho, United States",16017
"Bonneville County, Idaho, United States",16019
"Boundary County, Idaho, United States",16021
"Butte County, Idaho, United States",16023
"Camas County, Idaho, United States",16025
"Canyon County, Idaho, United States",16027
"Caribou County, Idaho, United States",16029
"Cassia County, Idaho, United States",16031
"Clark County, Idaho, United States",16033
"Clearwater County, Idaho, United States",16035
"Custer County, Idaho, United States",16037
"Elmore County, Idaho, United States",16039
"Franklin County, Idaho, United States",16041
"Fremont County, Idaho, United States",16043
"Gem County, Idaho, United States",16045
"Gooding County, Idaho, United States",16047
"Idaho County, Idaho, United States",16049
"Jefferson County, Idaho, United States",16051
"Jerome County, Idaho, United States",16053
"Kootenai County, Idaho, United States",16055
"Latah County, Idaho, United States",16057
"Lemhi County, Idaho, United States",16059
"Lewis County, Idaho, United States",16061
"Lincoln County, Idaho, United States",16063
"Madison County, Idaho, United States",16065
"Minidoka County, Idaho, United States",16067
"Nez Perce County, Idaho, United States",16069
"Oneida County, Idaho, United States",16071
"Owyhee County, Idaho, United States",16073
"Payette County, Idaho, United States",16075
"Power County, Idaho, United States",16077
"Shoshone County, Idaho, United States",16079
"Teton County, Idaho, United States",16081
"Twin Falls County, Idaho, United States",16083
"Valley County, Idaho, United States",16085
"Washington County, Idaho, United States",16087
"Adams County, Illinois, United States",17001
"Alexander County, Illinois, United States",17003
"Bond County, Illinois, United States",17005
"Boone County, Illinois, United States",17007
"Brown County, Illinois, United States",17009
"Bureau County, Illinois, United States",17011
"Calhoun County, Illinois, United States",17013
"Carroll County, Illinois, United States",17015
"Cass County, Illinois, United States",17017
"Champaign County, Illinois, United States",17019
"Christian County, Illinois, United States",17021
"Clark County, Illinois, United States",17023
"Clay County, Illinois, United States",17025
"Clinton County, Illinois, United States",17027
"Coles County, Illinois, United States",17029
"Cook County, Illinois, United States",17031
"Crawford County, Illinois, United States",17033
"Cumberland County, Illinois, United States",17035
"DeKalb County, Illinois, United States",17037
"De Witt County, Illinois, United States",17039
"Douglas County, Illinois, United States",17041
"DuPage County, Illinois, United States",17043
"Edgar County, Illinois, United States",17045
"Edwards County, Illinois, United States",17047
"Effingham County, Illinois, United States",17049
"Fayette County, Illinois, United States",17051
"Ford County, Illinois, United States",17053
"Franklin County, Illinois, United States",17055
"Fulton County, Illinois, United States",17057
"Gallatin County, Illinois, United States",17059
"Greene County, Illinois, United States",17061
"Grundy County, Illinois, United States",17063
"Hamilton County, Illinois, United States",17065
"Hancock County, Illinois, United States",17067
"Hardin County, Illinois, United States",17069
"Henderson County, Illinois, United States",17071
"Henry County, Illinois, United States",17073
"Iroquois County, Illinois, United States",17075
"Jackson County, Illinois, United States",17077
"Jasper County, Illinois, United States",17079
"Jefferson County, Illinois, United States",17081
"Jersey County, Illinois, United States",17083
"Jo Daviess County, Illinois, United States",17085
"Johnson County, Illinois, United States",17087
"Kane County, Illinois, United States",17089
"Kankakee County, Illinois, United States",17091
"Kendall County, Illinois, United States",17093
"Knox County, Illinois, United States",17095
"Lake County, Illinois, United States",17097
"LaSalle County, Illinois, United States",17099
"Lawrence County, Illinois, United States",17101
"Lee County, Illinois, United States",17103
"Livingston County, Illinois, United States",17105
"Logan County, Illinois, United States",17107
"McDonough County, Illinois, United States",17109
"McHenry County, Illinois, United States",17111
"McLean County, Illinois, United States",17113
